ID,GeneName,GeneID,UniProtID,STRING_ID
2763,ANO7,50636,,9606.ENSP00000274979
2764,NFKBIE,4794,,9606.ENSP00000275015
2765,CYP39A1,51302,,9606.ENSP00000275016
2766,PHIP,55023,,9606.ENSP00000275034
2767,MMS22L,253714,,9606.ENSP00000275053
2768,TAAR6,319100,,9606.ENSP00000275198
2769,TAAR1,134864,Q96RJ0,9606.ENSP00000275216
2770,SLC18B1,116843,,9606.ENSP00000275227
2771,SLC2A12,154091,,9606.ENSP00000275230
2772,SHPRH,257218,,9606.ENSP00000275233
2773,SLC22A3,6581,,9606.ENSP00000275300
2774,GNA12,2768,,9606.ENSP00000275364
2775,GGCT,79017,,9606.ENSP00000275428
